Titre,Lien
The Algebra of Loans in Rust (nadrieril.github.io),https://nadrieril.github.io/blog/2025/12/21/the-algebra-of-loans-in-rust.html
Maybe the default settings are too high (raptitude.com),https://www.raptitude.com/2025/12/maybe-the-default-settings-are-too-high/
Geometric Algorithms for Translucency Sorting in Minecraft [pdf] (douira.dev),https://douira.dev/assets/document/douira-master-thesis.pdf
Building an AI agent inside a 7-year-old Rails monolith (catalinionescu.dev),https://catalinionescu.dev/ai-agent/building-ai-agent-part-1/
"MiniMax M2.1: Built for Real-World Complex Tasks, Multi-Language Programming (minimaxi.com)",https://www.minimaxi.com/news/minimax-m21
TurboDiffusion: 100–200× Acceleration for Video Diffusion Models (github.com/thu-ml),https://github.com/thu-ml/TurboDiffusion
Show HN: Gaming Couch – a local multiplayer party game platform for 8 players (gamingcouch.com),https://gamingcouch.com
Tiled Art (tiled.art),https://tiled.art/en/home/?id=SilverAndGold
Fahrplan – 39C3 (ccc.de),https://fahrplan.events.ccc.de/congress/2025/fahrplan/
Python 3.15’s interpreter for Windows x86-64 should hopefully be 15% faster (fidget-spinner.github.io),https://fidget-spinner.github.io/posts/no-longer-sorry.html
How to Reproduce This Book with LaTeX (github.com/benjamingor),https://github.com/BenjaminGor/Latex_Notes_Tutorial
The entire New Yorker archive is now digitized (newyorker.com),https://www.newyorker.com/news/press-room/the-entire-new-yorker-archive-is-now-fully-digitized
Tachyon: High frequency statistical sampling profiler (python.org),https://docs.python.org/3.15/library/profiling.sampling.html
Show HN: GeneGuessr – a daily biology web puzzle (brinedew.bio),https://geneguessr.brinedew.bio/
"Hardware Touch, Stronger SSH (ubicloud.com)",https://www.ubicloud.com/blog/hardware-touch-stronger-ssh
Lessons from a year of Postgres CDC in production (clickhouse.com),https://clickhouse.com/blog/postgres-cdc-year-in-review-2025
Ask HN: What skills do you want to develop or improve in 2026?,item?id=46385197
Ultimate-Linux: Userspace for Linux in Pure JavaScript (github.com/popovicu),https://github.com/popovicu/ultimate-linux
Animating Quines for Larva Labs (destroytoday.com),https://destroytoday.com/blog/animating-quines-for-larva-labs
Seven Diabetes Patients Die Due to Undisclosed Bug in Abbott's Glucose Monitors (sfconservancy.org),https://sfconservancy.org/blog/2025/dec/23/seven-abbott-freestyle-libre-cgm-patients-dead/
